Gene
PON1
NUGGC
PRADC1
EVI5L
CEP95
ORC1
DMKN
NCK1
SLC35A2
PPP1R9A
NANS
MICU3
AHCY
TMX3
MYLK2
GIMAP7
IPO13
FBXO30
ARF4
EDA2R
RTN4IP1
E4F1
ARL11
PIK3R4
CCNT1
FER1L5
RHBDD1
CPO
VPS45
FAM167A
DFFA
GSE1
SHISA4
NUP205
ZEB1
POMT2
TMEM30A
CADM3
MAGI1
SMAD7
ARGLU1
DOCK3
SDCCAG8
MTRF1
RASGRF2
MTDH
MARK1
DYTN
KRBOX4
LPGAT1
SP9
GANC
FUNDC1
TRIM71
GAR1
PLD5
HCN2
NUTF2
PRDX5
XKR5
GOLGA1
PCSK6
ELL
KDELR1
ESRRG
IQCC
TGFB2
CCDC65
MGA
SLFN12
KRR1
SMU1
TNFRSF11A
NUDT16
ACTG2
MAN2A1
VCL
TPM1
HTR2B
TMED3
CELF3
FHIT
SPATA5L1
TCERG1L
ZNF669
CD80
ADAM19
R3HDM2
ZDHHC15
MYDGF
HMGB3
MINK1
FAM3D
KCNAB3
HTR4
CEP131
NSG1
AKAP7
TACR2
LGI1
HCRTR2
THY1
HS3ST4
SELPLG
CDH11
C17orf53
COLQ
BCCIP
CCDC153
RAB14
NLRP5
MBOAT4
ZNF142
KIF4A
RANBP3L
CDK5RAP3
TCEANC2
NEMF
GCSAML
MAPK1
NDUFB10
CACNA1A
HRK
ALPK1
APLN
IGIP
KCND3
DDX28
COL25A1
ENAH
EREG
ACACB
TMEM14A
YAP1
ZNF502
SENP7
CEP89
LZTR1
SCFD2
MCOLN2
CCDC121
UTP15
CAMSAP3
ATG12
TMEM129
SLC38A6
BASP1
PIK3AP1
GRAMD1A
COX7C
PLA2G2C
STAM2
ZNF510
CALB2
TMEM235
MTMR14
QRFPR
PDP2
SLC9C2
HFE
CNTROB
ZNF493
MYL12A
BAZ1B
TPCN1
ACVR2A
CNOT11
EPN3
DIRC3
PPP1R3F
BLVRB
PSMA7
NUDT2
ATG16L2
PIK3R6
SEMA3C
TTLL9
TMEM99
SLC12A9
CASP7
ANKRD23
CXCL17
IMPAD1
GATAD2B
GRIK5
EGR3
GJD2
RAD51AP1
SLC7A5
EPB41L2
RESP18
CLCN7
RAB11FIP4
KLHL12
NANOS3
PITPNM3
DYM
SLC36A3
TCIRG1
SACS
MYL3
BRD1
PRKCD
SLC40A1
ZNF512
MED27
SOCS7
PLAC8
PANX3
ZACN
ACSBG2
NATD1
NKRF
SLC4A9
AKIRIN1
STAMBP
FUT10
DUSP15
SNX18
TTC26
NUDT10
PCYT1A
GAS2L3
CSRNP1
DLX6
SP3
PDLIM5
MROH6
NFKBIA
ACOT9
LAPTM5
POLR1E
NPAS4
NBR1
ZNF404
RTN4
HECTD2
LGMN
ADAP1
PPP6C
PC
IMPA2
DNASE1L1
DLGAP2
GBP1
SCARF1
PLCXD2
CSNK1E
CAMK2A
SNW1
SHROOM1
C1orf105
POLD2
RAVER1
CXorf58
NTF3
ANO6
GRB2
PERM1
ZCCHC4
TCAP
SIAE
SAMD13
KNSTRN
TMEM44
DPRX
ZNF34
EXOG
MS4A8
IL27
CLOCK
ZNF827
TRAFD1
ATP13A1
KCNQ3
BACH2
ERVMER34-1
CDCA5
KCNE4
ZFHX3
ZFYVE19
MCTP2
SNTG2
ITGA11
GPR153
MBD3
MTHFD1
FSTL4
GAA
ACOT8
SIRT1
TP53BP2
NPAT
DLK2
STRN
EAPP
MCHR1
RIMKLA
CIB3
RILPL2
UBE2E1
NPTX2
SUGCT
CCDC3
BCL2
STRIP1
B3GAT1
ALDH1B1
COG7
COL20A1
DUXA
CYP8B1
SERP1
CKAP5
SPRY2
MESP2
FGF17
IGSF8
CHRNA2
YARS
PEX2
SCLT1
SNAPIN
MRPL32
C1orf226
ARHGAP23
DDR2
ADGRF5
ZNF829
GNB2
SPCS2
MIEF1
DBNDD1
DMC1
INTS3
PROP1
SUV39H2
TRIM45
AGAP3
PPP2R1B
MANF
ZCCHC24
MEGF10
RRAGB
CLUH
WDR83
SPTLC3
MED22
XRRA1
TTLL2
HIST1H2BN
ARHGAP27
ZCCHC14
INTS12
SPIRE2
FSD1L
DDX25
DNAJB6
KLF4
ASB18
PLOD2
ZFP37
CDC42EP5
STK35
PNOC
ZNF429
KIF2C
CLDN12
BCHE
ADH5
LAMC3
CEP57
ZNF385A
RYK
PLXNA4
NOC2L
METRNL
RHOBTB3
KIAA0355
ZNF319
FMO3
HS1BP3
AKAP10
IQCB1
TAC4
EEFSEC
SCN3B
ALOX12
TADA2A
TDRD5
SSR4
JTB
FLOT1
CNKSR3
INHBC
CCL26
MIS18BP1
SLC22A9
ADORA2B
CCDC105
ASS1
WNK3
HCLS1
DRG2
BMF
KCNH1
MAP3K3
ACP6
LRRC1
DDX46
BCAP31
LRRC8D
DHRS9
ADCY10
HDAC4
OOEP
GMPS
PTPRC
CYP2D6
SLFN5
C14orf178
TIAM2
RUNDC3A
GNG2
FSCN1
SLC9A3R1
C3orf80
FGF8
CTRC
NELL1
DSCAML1
ADGRD2
DCTN6
SPRN
SMCR8
CORIN
PSME4
ICA1
ITPA
MMRN2
GALNT9
TECRL
DIS3
PPME1
GJA5
ALG9
BTBD16
PPP1R42
NUBP1
CLCNKA
SDC1
DIO2
LLGL2
LSR
CD24
ZAN
SEMA3A
CANX
PFKL
CDCA7L
PLCG1
FILIP1
PIN4
SNX1
UNC5D
TOX4
SIM2
ASGR2
ORC2
MARVELD3
GRIN3B
MYOF
SLITRK2
STXBP2
TAP1
XPC
ERLEC1
FLOT2
ARHGEF3
MAN2B1
RPF1
NOS1AP
EXTL2
HDHD3
ITGAX
LYL1
PLIN3
XKR8
KRTAP5-11
NALCN
TFDP1
CTC1
ZDHHC13
NAE1
LRRC74B
SRPK3
POLR2J
CEP112
VAPA
NOX3
PDE3B
MTPAP
DGCR2
PRCP
